ensembl_gene_id	ImportanceScore	GeneName
ENSG00000103522	-0.778158195	IL21R
ENSG00000105246	-0.776792921	EBI3
ENSG00000143297	-0.750221729	FCRL5
ENSG00000226979	-0.673264157	LTA
ENSG00000003393	-0.657454773	ALS2
ENSG00000058866	-0.633290788	DGKG
ENSG00000140379	-0.623793977	BCL2A1
ENSG00000084676	-0.602464735	NCOA1
ENSG00000164236	-0.601972432	ANKRD33B
ENSG00000138623	-0.597132928	SEMA7A
ENSG00000121594	-0.591988047	CD80
ENSG00000113742	-0.582615014	CPEB4
ENSG00000163082	-0.578055021	SGPP2
ENSG00000181788	-0.537210723	SIAH2
ENSG00000102962	-0.536215245	CCL22
ENSG00000179361	-0.533035852	ARID3B
ENSG00000085449	-0.532489998	WDFY1
ENSG00000113532	-0.53144637	ST8SIA4
ENSG00000137265	-0.53144132	IRF4
ENSG00000147526	-0.530782224	TACC1
ENSG00000168610	-0.52803111	STAT3
ENSG00000118242	-0.520592143	MREG
ENSG00000156127	-0.518200838	BATF
ENSG00000154978	-0.51791333	VOPP1
ENSG00000185668	-0.517296363	POU3F1
ENSG00000234883	-0.515576659	MIR155HG
ENSG00000111863	-0.515183922	ADTRP
ENSG00000092871	-0.509848773	RFFL
ENSG00000095951	-0.503485196	HIVEP1
ENSG00000135932	-0.493964596	CAB39
ENSG00000117322	-0.492801851	CR2
ENSG00000149177	-0.490756177	PTPRJ
ENSG00000254415	-0.485514467	SIGLEC14
ENSG00000163219	-0.483174276	ARHGAP25
ENSG00000125753	-0.478206272	VASP
ENSG00000139629	-0.476351522	GALNT6
ENSG00000224220	-0.470363948	AC104699.1
ENSG00000003402	-0.46969468	CFLAR
ENSG00000163466	-0.465449467	ARPC2
ENSG00000054219	-0.465397796	LY75
ENSG00000082438	-0.463624343	COBLL1
ENSG00000014257	-0.453427316	ACPP
ENSG00000058335	-0.452864227	RASGRF1
ENSG00000244405	-0.452152489	ETV5
ENSG00000176749	-0.450417206	CDK5R1
ENSG00000186469	-0.446254755	GNG2
ENSG00000220517	-0.446234544	ASS1P1
ENSG00000013364	-0.444564212	MVP
ENSG00000135905	-0.442933644	DOCK10
ENSG00000221887	-0.442821817	HMSD
ENSG00000102970	-0.44087649	CCL17
ENSG00000173200	-0.439442144	PARP15
ENSG00000106829	-0.438088957	TLE4
ENSG00000077585	-0.436646932	GPR137B
ENSG00000110324	-0.434099608	IL10RA
ENSG00000172927	-0.433195192	MYEOV
ENSG00000125398	0.357910791	SOX9
ENSG00000133315	0.358735977	MACROD1
ENSG00000173457	0.361300092	PPP1R14B
ENSG00000153406	0.361333845	NMRAL1
ENSG00000174365	0.361898633	SNHG11
ENSG00000142937	0.366455454	RPS8
ENSG00000147642	0.368491881	SYBU
ENSG00000226950	0.369704472	DANCR
ENSG00000135116	0.37333362	HRK
ENSG00000175061	0.374634245	FAM211A-AS1
ENSG00000163683	0.376756114	SMIM14
ENSG00000127990	0.377273747	SGCE
ENSG00000183605	0.378277224	SFXN4
ENSG00000147604	0.379759418	RPL7
ENSG00000167526	0.380647502	RPL13
ENSG00000162004	0.385406868	CCDC78
ENSG00000183077	0.387741681	AFMID
ENSG00000165238	0.388330521	WNK2
ENSG00000255517	0.394296803	CTD-3074O7.5
ENSG00000103253	0.394797818	HAGHL
ENSG00000136942	0.401009226	RPL35
ENSG00000272398	0.402431294	CD24
ENSG00000128272	0.404262821	ATF4
ENSG00000173898	0.405165754	SPTBN2
ENSG00000132465	0.411205299	IGJ
ENSG00000196756	0.415383434	SNHG17
ENSG00000102760	0.420393779	RGCC
ENSG00000099956	0.425002411	SMARCB1
ENSG00000164362	0.425033659	TERT
ENSG00000174669	0.426164929	SLC29A2
ENSG00000189283	0.427190221	FHIT
ENSG00000130348	0.428096281	QRSL1
ENSG00000260260	0.43230419	RP11-304L19.5
ENSG00000243056	0.44958096	EIF4EBP3
ENSG00000089009	0.450222225	RPL6
ENSG00000130005	0.460818809	GAMT
ENSG00000231789	0.471364846	RP11-558F24.4
ENSG00000242265	0.47567559	PEG10
ENSG00000235314	0.477482138	LINC00957
ENSG00000106952	0.486553751	TNFSF8
ENSG00000233016	0.533131106	SNHG7
ENSG00000175600	0.544791009	SUGCT
ENSG00000173660	0.554550411	UQCRH
ENSG00000012779	0.58228409	ALOX5
ENSG00000153291	0.597328882	SLC25A27
ENSG00000136997	0.618096768	MYC
ENSG00000204856	0.666273573	FAM216A
ENSG00000256574	0.674218428	OR13A1
