gene	longname
DOCK1	
MEF2C	
MAP2K1	
BTG2	
GABRA2	
GRHPR	
TP53	tumor protein p53
MYD88	myeloid differentiation primary response gene (88)
CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)
CD79B	CD79b molecule, immunoglobulin-associated beta
HLA-B	major histocompatibility complex, class I, B
CD70	CD70 molecule
FAS	Fas (TNF receptor superfamily, member 6)
KLHL6	kelch-like 6 (Drosophila)
PRDM1	PR domain containing 1, with ZNF domain
TBL1XR1	transducin (beta)-like 1 X-linked receptor 1
BTG1	B-cell translocation gene 1, anti-proliferative
BCL2	B-cell CLL/lymphoma 2
CARD11	caspase recruitment domain family, member 11
HLA-A	major histocompatibility complex, class I, A
PIM1	pim-1 oncogene
CCND3	cyclin D3
B2M	beta-2-microglobulin
TNFRSF14	tumor necrosis factor receptor superfamily, member 14 (herpesvirus entry mediator)
HIST1H1C	histone cluster 1, H1c
TMEM30A	transmembrane protein 30A
TMSB4X	thymosin beta 4, X-linked
EBF1	early B-cell factor 1
CD58	CD58 molecule
TNFAIP3	tumor necrosis factor, alpha-induced protein 3
KMT2D	myeloid/lymphoid or mixed-lineage leukemia 2
MEF2B	myocyte enhancer factor 2B
NFKBIA	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha
HLA-C	major histocompatibility complex, class I, C
RHOA	ras homolog gene family, member A
EEF1A1	eukaryotic translation elongation factor 1 alpha 1
UBE2A	ubiquitin-conjugating enzyme E2A (RAD6 homolog)
EZH2	enhancer of zeste homolog 2 (Drosophila)
POU2AF1	POU class 2 associating factor 1
HIST1H1E	histone cluster 1, H1e
POU2F2	POU class 2 homeobox 2
BRAF	v-raf murine sarcoma viral oncogene homolog B1
SGK1	serum/glucocorticoid regulated kinase 1
IGLL5	immunoglobulin lambda-like polypeptide 5
STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)
GNA13	guanine nucleotide binding protein (G protein), alpha 13
BCL6	B-cell CLL/lymphoma 6 (zinc finger protein 51)
ACTB	actin, beta
STAT6	signal transducer and activator of transcription 6, interleukin-4 induced
LYN	v-yes-1 Yamaguchi sarcoma viral related oncogene homolog
HVCN1	hydrogen voltage-gated channel 1
ETV6	ets variant gene 6 (TEL oncogene)
NOTCH2	Notch homolog 2 (Drosophila)
CXCR4	chemokine (C-X-C motif) receptor 4
KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog
IKZF3	IKAROS family zinc finger 3 (Aiolos)
TOX	thymocyte selection-associated high mobility group box
HIST1H1B	histone cluster 1, H1b
HIST1H2BC	histone cluster 1, H2bc
CRIP1	cysteine-rich protein 1 (intestinal)
HIST1H2AC	histone cluster 1, H2ac
PTPN6	protein tyrosine phosphatase, non-receptor type 6
BCL10	B-cell CLL/lymphoma 10
CD83	CD83 molecule
PTEN	phosphatase and tensin homolog (mutated in multiple advanced cancers 1)
EP300	E1A binding protein p300
GRB2	growth factor receptor-bound protein 2
NFKBIE	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, epsilon
HIST1H2BK	histone cluster 1, H2bk
ZC3H12A	zinc finger CCCH-type containing 12A
XPO1	exportin 1 (CRM1 homolog, yeast)
IRF8	interferon regulatory factor 8
SPEN	spen homolog, transcriptional regulator (Drosophila)
CD274	CD274 molecule
HIST1H1D	histone cluster 1, H1d
ZFP36L1	zinc finger protein 36, C3H type-like 1
RAD9A	RAD9 homolog A (S. pombe)
DTX1	deltex homolog 1 (Drosophila)
YY1	YY1 transcription factor
NAV1	neuron navigator 1
CCL4	chemokine (C-C motif) ligand 4
HIST1H2AM	histone cluster 1, H2am
LTB	lymphotoxin beta (TNF superfamily, member 3)
SMEK1	SMEK homolog 1, suppressor of mek1 (Dictyostelium)
NANOG	Nanog homeobox
HLA-DMA	major histocompatibility complex, class II, DM alpha
SIN3A	SIN3 homolog A, transcription regulator (yeast)
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)
PRKCB	protein kinase C, beta
PRPS1	phosphoribosyl pyrophosphate synthetase 1
PDE4DIP	phosphodiesterase 4D interacting protein (myomegalin)
TLR2	toll-like receptor 2
ZNF423	zinc finger protein 423
SF3B1	splicing factor 3b, subunit 1, 155kDa
CIITA	class II, major histocompatibility complex, transactivator
NLRP8	NLR family, pyrin domain containing 8
BCL11A	B-cell CLL/lymphoma 11A (zinc finger protein)
ZEB2	zinc finger E-box binding homeobox 2
GNAI2	guanine nucleotide binding protein (G protein), alpha inhibiting activity polypeptide 2
FUT5	fucosyltransferase 5 (alpha (1,3) fucosyltransferase)
HIST1H3B	histone cluster 1, H3b
HIST2H2BE	histone cluster 2, H2be
COQ7	coenzyme Q7 homolog, ubiquinone (yeast)
IL6	interleukin 6 (interferon, beta 2)
