Feature	C1	C2	C3	C4	C5
ACTB	1.722253442940185	2.220446049250313e-16	2.220446049250313e-16	8.857664038675722	2.220446049250313e-16
B2M	7.897534407296004	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
BCL10	4.860021173720619	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
BCL11A	2.220446049250313e-16	1.048242795263469	0.7142129673909345	2.220446049250313e-16	1.7919962605700939
BCL2	2.220446049250313e-16	2.220446049250313e-16	18.47450888563067	2.220446049250313e-16	2.220446049250313e-16
BCL6	1.8145759010824098	2.220446049250313e-16	2.1439912799936742	2.220446049250313e-16	1.5876504285835753
BRAF	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	5.888123021757823	2.220446049250313e-16
BTG1	1.561307672477503	2.220446049250313e-16	3.666292494026439	3.4682971109068865	8.386901916154503
BTG2	1.4381999295568855	2.220446049250313e-16	2.220446049250313e-16	1.2041021189135495	2.0709867002409967
CARD11	1.3153906536807063	2.220446049250313e-16	4.732256460212871	3.253875803505639	1.5890502343580657
CCND3	1.80074855402575	2.220446049250313e-16	1.2775699343124218	2.220446049250313e-16	1.3305415539494947
CD58	0.8951750001415136	2.220446049250313e-16	2.220446049250313e-16	5.109278598827953	2.220446049250313e-16
CD70	8.353161392332309	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16
CD79B	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	14.537128083597576
CD83	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	5.888123021757822	2.220446049250313e-16
CIITA	1.9953910027620934	1.3569302405745844e-14	0.54550086880477755	0.40184124576058067	2.220446049250313e-16
CREBBP	2.220446049250313e-16	2.220446049250313e-16	17.00308782394326	2.220446049250313e-16	2.220446049250313e-16
DOCK1	1.8921797856733777	0.6056820082528758	1.5135132570015835	2.220446049250313e-16	2.220446049250313e-16
DTX1	4.677872810435273	2.220446049250313e-16	2.220446049250313e-16	6.09212827117397	1.7440384278237326
EBF1	3.980190388056984	2.220446049250313e-16	1.2325838586229638	5.132844831532003	2.220446049250313e-16
EEF1A1	1.3656302378731144	2.220446049250313e-16	0.9478225471447959	3.216322644600391	2.220446049250313e-16
EP300	2.220446049250313e-16	5.607522371343625	2.344423802800672	2.220446049250313e-16	2.220446049250313e-16
ETS1	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	4.184363109278797	1.0712981652447482
ETV6	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	6.869192391150508
EZH2	2.220446049250313e-16	2.220446049250313e-16	7.193614079360615	2.220446049250313e-16	2.220446049250313e-16
FAS	5.0691024933451825	2.220446049250313e-16	2.220446049250313e-16	2.327135628945508	2.220446049250313e-16
GABRA2	0.7908551988899294	2.220446049250313e-16	1.2167356529771842	2.220446049250313e-16	0.5352439799899701
GNA13	1.7416264721909884	2.220446049250313e-16	6.339460146545512	2.507546926326973	2.220446049250313e-16
GNAI2	2.220446049250313e-16	2.220446049250313e-16	1.4004732199644712	1.0592287768247612	0.9230173766060646
GRHPR	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	3.833967846223539
HIST1H1B	2.298891834764436	2.220446049250313e-16	2.220446049250313e-16	5.2978659757890645	1.2096820519529694
HIST1H1C	2.7024250463291226	2.220446049250313e-16	2.220446049250313e-16	10.058558397218391	2.220446049250313e-16
HIST1H1D	2.220446049250313e-16	2.220446049250313e-16	2.220446049250313e-16	7.3203691621854015	2.220446049250313e-16
