Feature	BCL2	MYD88	NEC	NOTCH2	SOCS1/SGK1	TET2/SGK1	MeanDecreaseAccuracy	MeanDecreaseGini
BCL11A_amp	-2.7245723154088806e-4	3.192409180616728e-4	-2.6053483639143965e-4	7.92778649921507e-5	-3.3495230792016247e-4	1.27789046653144e-4	-6.693189281769929e-5	1.2543273963379633
MALT1_amp	1.3178577289884935e-4	-8.712121212121212e-5	-2.3523396094520858e-4	2.6888647475845426e-4	-5.263157894736842e-5	0	-3.7368679526890175e-7	0.7067672028091037
REL_amp	0.0018905682882753138	6.241479441500378e-4	0.0031473549478393927	4.250310836917378e-4	-6.32697472617729e-5	3.5742138408947417e-4	0.0012927071538471216	2.6435242740959106
XPO1_amp	9.410423644770424e-4	1.7691283132492092e-4	2.0322297719496918e-4	4.081632653061224e-5	4.5111882960645826e-4	6.666666666666667e-5	3.3655013891824184e-4	1.5594490616067678
CD58_OR_del	0.00951058654481592	4.8375311296708974e-5	0.0017139906798820624	9.873347704266592e-4	0.0018974455532113498	-3.326119007558305e-4	0.00266680162294778	5.750659596499564
CDKN2A_OR_del	0.011495124448655917	0.010981809433479293	0.0017908855124371507	0.009581093881788936	0.002818632051830477	0.010867823628316186	0.007733214603907064	8.97074038263239
DDX3X_OR_del	-6.548578742306019e-5	5.70127950426473e-4	2.2143786832420066e-4	6.705478493783604e-4	3.0451631701631696e-4	-4.552891568607419e-4	2.5942553228191367e-4	2.5556553613199147
PRDM1_OR_del	0.003841958453098541	0.005959595193775714	-0.002282329548151651	0.0020005716269106354	0.00432263601669652	0.001211473401360502	0.0022803709631721673	4.703610995323963
RB1_OR_del	-0.001121253396932762	3.0196757364709295e-5	-3.460219370000727e-4	5.156818205137533e-4	2.078738495298187e-4	3.803100693344596e-4	-1.3796199521737344e-4	1.412521972386592
TNFAIP3_OR_del	0.0027707097012315647	0.0033771827990300373	0.042915287595535756	0.03506262726783186	2.83237702331084e-4	0.00353526711398571	0.016807230890000805	12.858015617370677
TNFRSF14_OR_del	0.03954119087559104	0.0385252543680876	0.0977123831090671	1.1532022172966897e-4	-0.0029745060034799715	0.013030703477810764	0.03732671429898085	21.586284126434094
TP53_OR_del	8.752675813520026e-4	0.009045405776693313	0.009254859332952042	-6.339169983256088e-5	-1.544476819084046e-4	0.006533363892292631	0.0045014015047469425	7.572962587941645
