Gene	DLBCL	FL	BL	MCL	CLL
ARID1A	1	1	1	0	1
ARID5B	1	0	0	0	0
BCL10	1	1	0	0	0
BCL11A	1	0	1	0	0
BIRC6	1	1	1	0	0
BLNK	1	1	0	0	0
BTK	1	1	1	0	0
LCOR	1	1	1	0	0
RHEX	0	0	0	0	0
CHST2	0	0	0	0	0
CXCR4	1	1	1	0	0
DDX3X	1	1	1	0	1
DTX1	1	1	1	0	1
ETS1	1	1	1	0	0
ETV6	1	1	0	0	0
FAS	1	1	1	0	1
FAT4	1	1	1	0	1
FOXC1	0	0	0	0	0
GRHPR	1	0	0	0	0
HIST1H2BK	1	1	1	0	0
HLA-B	1	1	1	0	0
HLA-DMB	1	1	0	0	0
HNF1B	0	0	0	0	0
HVCN1	1	1	1	0	0
IL16	1	0	1	0	0
IL4R	1	0	1	0	1
IRF4	1	0	0	0	1
KLHL14	1	1	0	0	0
KLHL21	1	1	0	0	1
MPEG1	1	1	1	0	1
MTOR	1	1	1	0	1
NFKB1	1	1	0	0	0
NFKBIA	1	1	1	0	0
NFKBIE	1	0	1	0	1
NFKBIZ	1	1	1	0	0
NOL9	1	1	1	0	1
NOTCH2	1	1	0	1	0
OSBPL10	1	1	1	0	0
P2RY8	1	1	1	0	0
PIM2	1	0	0	0	0
POU2F2	1	1	1	0	0
PPP1R9B	1	0	1	0	1
PTPN1	0	0	0	0	0
RB1	1	1	1	0	1
S1PR2	1	1	0	0	0
SETD1B	1	1	1	0	0
SIN3A	1	1	1	0	1
SOCS1	1	1	1	0	0
SPEN	1	1	1	1	1
STAT6	1	1	1	0	0
TAP1	0	1	0	0	0
TBL1XR1	1	1	1	0	1
TET2	1	1	1	0	1
TMSB4X	1	1	0	0	0
TRIP12	1	0	0	0	1
TRRAP	1	1	1	0	1
UBE2A	1	1	0	0	0
USP7	1	1	1	0	0
VPS13B	1	1	1	0	1
WEE1	1	0	1	0	1
XPO1	1	0	0	0	1
ZC3H12A	1	0	0	0	0
ACTB	1	1	1	0	0
BCL6	1	1	1	0	1
BCL7A	1	1	1	0	0
BCR	1	1	1	0	0
BRAF	1	1	1	0	1
CD274	1	1	1	0	0
CD36	1	1	1	0	1
CPS1	1	1	1	0	1
HIST1H3B	1	1	1	0	0
KRAS	1	0	1	0	1
MKI67	1	1	1	0	0
MYOM2	1	1	1	0	1
NLRC5	1	0	1	0	0
PCLO	1	1	1	0	1
PRDM1	1	0	1	0	0
RFXAP	1	1	1	0	0
SETD2	1	1	1	0	1
STAT3	1	1	0	0	0
TMEM30A	1	1	1	0	0
TNFSF9	0	0	1	0	0
UNC5C	1	1	1	0	0
UNC5D	1	1	1	0	0
B2M	1	1	1	1	0
BCL2	1	1	1	0	1
BTG1	1	1	0	0	1
BTG2	1	1	1	0	1
CARD11	1	1	1	0	1
CCND3	1	1	1	0	0
CD58	1	1	1	0	0
CD70	1	1	0	0	0
CD79B	1	1	0	0	0
CD83	1	1	1	0	0
CIITA	1	1	1	0	0
CREBBP	1	1	1	0	1
EP300	1	1	1	0	1
EZH2	1	1	1	0	0
FOXO1	1	1	1	0	0
GNA13	1	1	1	0	0
HIST1H1C	1	1	1	0	0
HIST1H1E	1	1	1	0	0
IRF8	1	1	1	0	0
KLHL6	1	1	1	0	1
KMT2D	1	1	1	1	1
MEF2B	1	1	1	1	0
MYC	1	1	1	0	0
MYD88	1	1	0	0	1
NOTCH1	1	1	1	0	1
PIM1	1	1	1	0	0
SGK1	1	1	1	0	0
TNFAIP3	1	1	1	0	0
TNFRSF14	1	1	1	0	0
TP53	1	1	1	1	1
ZFP36L1	1	1	1	0	1
MS4A1	1	1	1	0	0
ID3	1	0	1	0	0
SMARCA4	1	1	1	0	0
FBXO11	1	1	1	0	0
PCBP1	1	1	1	0	0
GNAI2	1	1	1	0	0
RFX7	1	1	1	0	0
TCF3	0	0	1	0	0
CHD8	0	0	1	0	0
RHOA	1	1	1	0	0
NCOR2	1	0	1	0	0
PTEN	1	1	1	0	0
PRKDC	1	1	1	0	0
HNRNPU	1	1	1	0	0
TCL1A	1	0	1	0	0
HIST1H1B	1	1	1	0	0
LTB	1	1	1	0	1
HIST1H1D	1	1	1	0	0
EBF1	1	1	1	0	0
DUSP2	1	1	1	0	0
CDKN2A	1	0	1	0	0
ATM	1	1	1	1	1
XBP1	1	1	1	0	0
SF3B1	1	1	1	0	1
MGA	1	0	1	0	1
BCOR	1	1	1	0	1
CHD2	1	0	1	0	1
POT1	1	1	1	0	1
ZNF292	1	1	1	0	1
BIRC3	1	1	0	1	1
TRAF3	1	0	0	0	0
POU2AF1	1	1	0	0	0
EWSR1	0	0	0	1	0
DAZAP1	1	0	0	1	0
UBR5	0	0	0	1	0
GPR32	0	0	0	1	0
HNRNPD	1	0	0	0	0
HNRNPH1	1	0	0	1	0
SP140	0	0	0	1	0
