chrom	start	end	gene	entrez
2	15114841	17537301	MYCN	0
13	91950075	92056833	MIR17HG	0	
18	56289397	56466591	MALT1	0
19	45172710	45342569	BCL3	0
3	70212562	72591639	FOXP1	0
16	10824166	11172969	CIITA	0
9	5109239	5807278	CD274	0
11	69571626	69876946	FGF3	2248
4	1708480	2004847	WHSC1	7468
12	11550649	12103109	ETV6	2120
1	161505812	161741826	FCGR2B	2213
8	127946098	134913440	MYC	4609
18	60565250	61868770	BCL2	596
3	187252700	189307147	BCL6	604
11	68379588	69582887	CCND1	595
3	101237539	101942550	NFKBIZ	64332
11	65210835	65330998	MALAT1	378938
6	310812	499114	IRF4	3662
2	28960116	30600001	ALK	238
