chrom	start	end	gene	entrez
11	128444920	128596794	ETS1	0
11	58958510	59362951	MPEG1	0
3	71051569	71614433	FOXP1	0
3	152168174	152370473	MBNL1	0
2	144503526	145630283	ZEB2	0
3	16169517	16709516	RFTN1	0
2	110972653	111272652	BCL2L11	0
3	157117815	157158314	CCNL1	0
X	31119228	33211556	DMD	0
9	36642588	37558833	PAX5	0
6	27128121	27157031	HIST1H2BK	0
4	40151497	40241496	RHOH	0
14	105354299	106881350	IGH	0
22	21848356	23083659	IGL	0
2	88412398	90386363	IGK	0
3	187534912	189589358	BCL6	0
12	24954386	25154385	LRMP	0
6	89386950	95648792	BACH2	0
14	21666369	22717211	TCRA	0
16	10865952	10895951	CIITA	0
3	186912570	187112570	ST6GAL1	0
3	186780742	186788363	EIF4A2	0
3	185911404	185947853	TRA2B	0
3	177007242	177145670	TBL1XR1	0
3	177335753	177758103	LINC00578	0
3	187129909	187149908	RPL39L	0
3	189499811	189965219	TP63	0
3	195869092	195935991	TNK2	0
3	196102986	196165380	LINC00885	0
3	197024615	197057822	DLG1	0
3	190038743	190342492	LEPREL1	0
