chr_name	hg38_start	hg38_end	gene	region	regulatory_comment	name
chr9	37023399	37027666	PAX5	intron-1	intronic	PAX5_intron-1
chr9	37192083	37207552	ZCCHC7	intron-3	intronic	ZCCHC7_intron-3
chr9	37282095	37309164	ZCCHC7	intron-2	intronic	ZCCHC7_intron-2
chr9	37323116	37340690	ZCCHC7	intron-1	intronic	ZCCHC7_intron-1
chr9	37369212	37372163	PAX5	distal-enhancer-1	enhancer	PAX5_distal-enhancer-1
chr9	37382270	37385857	PAX5	distal-enhancer-2	enhancer	PAX5_distal-enhancer-2
chr9	37395935	37409242	PAX5	distal-enhancer-3	enhancer	PAX5_distal-enhancer-3
chr9	37032579	37037707	PAX5	TSS-1	active_promoter	PAX5_TSS-1
chr3	71577190	71586497	FOXP1	TSS-1	active_promoter	FOXP1_TSS-1
chr3	71501602	71502327	FOXP1	intron-1a	intronic	FOXP1_intron-1a
chr3	71453952	71455719	FOXP1	intron-1b	intronic	FOXP1_intron-1b
chr3	71301482	71308514	FOXP1	TSS-2	active_promoter	FOXP1_TSS-2
chr3	71127276	71131809	FOXP1	TSS-3	active_promoter	FOXP1_TSS-3
chr3	71055835	71070367	FOXP1	TSS-4	active_promoter	FOXP1_TSS-4
chr3	101827825	101828860	NFKBIZ	TSS-1	active_promoter	NFKBIZ_TSS-1
chr3	101849395	101850430	NFKBIZ	TSS-2	active_promoter	NFKBIZ_TSS-2
chr3	187065411	187066503	ST6GAL1	intronic-1	strong_enhancer	ST6GAL1_intronic-1
chr3	187021840	187023087	ST6GAL1	TSS-1	active_promoter	ST6GAL1_TSS-1
chr18	63315495	63321109	BCL2	TSS	active_promoter	BCL2_TSS
chr18	63129751	63146870	BCL2	intronic	strong_enhancer	BCL2_intronic
chr3	187740738	187746844	BCL6	TSS	NA	BCL6_TSS
chr12	122019006	122026130	BCL7A	TSS	poised_promoter	BCL7A_TSS
chr11	102317439	102319346	BIRC3	TSS	active_promoter	BIRC3_TSS
chr8	11490214	11497809	BLK	TSS	strong_enhancer	BLK_TSS
chr12	92144223	92145822	BTG1	TSS	active_promoter	BTG1_TSS
chr1	203305570	203306650	BTG2	intronic	active_promoter	BTG2_intronic
chr6	14117795	14119794	CD83	TSS	active_promoter-strong_enhancer	CD83_TSS
chr16	10876938	10881608	CIITA	TSS	active_promoter-strong_enhancer	CIITA_TSS
chr2	136117158	136117891	CXCR4	intronic	weak_promoter	CXCR4_intronic
chr12	113054506	113059741	DTX1	TSS	NA	DTX1_TSS
chr12	11643067	11660034	ETV6	TSS	strong_enhancer	ETV6_TSS
chr10	125890343	125902564	FANK1	TSS	active_promoter	FANK1_TSS
chr6	390572	394093	IRF4	TSS	active_promoter	IRF4_TSS
chr16	85898312	85900371	IRF8	TSS	active_promoter	IRF8_TSS
