chrom	start	end	gene	entrez
2	14974717	17356034	MYCN	0
13	91297821	91404579	MIR17HG	0
18	58622165	58799359	MALT1	0
19	44669438	44839312	BCL3	0
3	70163411	72542488	FOXP1	0
16	10730309	11079112	CIITA	0
9	5109239	5807278	CD274	0
11	69756859	70030840	FGF3	0
4	1706753	2003120	WHSC1	7468
12	11397715	11950175	ETV6	2120
1	161536022	161772036	FCGR2B	2213
8	126933853	133901197	MYC	4609
18	62898017	64201535	BCL2	596
3	187534912	189589358	BCL6	604
11	68612120	69768119	CCND1	595
3	101518695	102223706	NFKBIZ	64332
11	65443364	65563527	MALAT1	378938
6	310812	499114	IRF4	3662
2	28737250	30377135	ALK	238
